SIG_CD,시군구명,2019_노인청소년_예산,"2020_노인,청소년_예산",예산변화량,2019_전체예산,2020_전체예산,2019_노인1인인구,2020_노인1인인구,2019_노인인구,2020_노인인구,총복지시설,노인주거복지시설,노인의료복지시설,노인여가복지시설,재가노인복지시설,노인일자리 지원기관,학대피해노인전용쉼터,치매전담형 장기요양기관,총 종사자수,노인주거복지시설 종사자수,노인의료복지시설 종사자수,노인여가복지시설 종사자수,재가노인복지시설 종사자수,노인일자리 지원기관 종사자수,치매전담형 장기요양기관 종사자수
서울특별시,금천구,98830,121536,22706,558931,754299,6913,7619,35354,37196,132,2,24,85,19,1,0,1,796,22,463,111,182,10,8
서울특별시,영등포구,104451,123935,19484,694701,975994,9259,10036,54906,56957,263,0,18,205,39,1,0,0,692,0,193,62,431,6,0
서울특별시,동작구,100655,152328,51673,651137,921933,9187,9923,59265,61994,196,0,10,156,28,0,0,2,703,0,164,115,417,0,7
서울특별시,관악구,147651,164410,16759,789211,1124588,12500,13676,71888,74787,205,0,29,134,40,1,0,1,985,0,421,33,520,6,5
서울특별시,서초구,79268,75682,-3586,725218,964039,6277,6891,54663,57036,170,0,5,152,13,0,0,0,488,0,223,115,150,0,0
서울특별시,강남구,101546,120350,18804,980268,1414899,9490,10335,66957,70896,234,2,6,195,26,1,0,4,707,61,169,93,347,7,30
서울특별시,송파구,123605,142791,19186,917851,1288753,11128,12324,81211,87182,253,1,23,190,38,1,0,0,1207,6,529,87,566,19,0
서울특별시,강동구,124744,139330,14586,852513,1089350,9523,10831,58669,63341,200,2,25,138,33,1,0,1,877,32,373,106,354,6,6
부산광역시,중구,31959,36811,4852,195747,233200,2661,2971,10380,10744,42,0,1,32,8,1,0,0,149,0,44,21,77,7,0
부산광역시,서구,68755,78265,9510,345898,433658,5906,6353,25205,26069,90,0,4,79,5,1,0,1,240,0,142,25,67,6,0
부산광역시,동구,65578,74719,9141,302034,367028,5320,5694,21407,22257,100,0,3,81,15,1,0,0,362,0,149,31,170,12,0
부산광역시,영도구,77262,85963,8701,368680,438631,7006,7479,29072,30116,109,0,4,85,17,1,0,2,275,0,106,19,119,18,13
부산광역시,부산진구,158477,181042,22565,632432,839238,13841,14945,64599,67133,305,0,8,282,14,1,0,0,383,0,227,34,116,6,0
부산광역시,동래구,100372,115853,15481,476178,622886,8400,9283,44255,46863,184,1,7,157,18,1,0,0,365,16,223,12,108,6,0
부산광역시,남구,121003,132431,11428,511677,678617,9166,9880,50151,51717,211,0,5,192,13,1,0,0,245,0,126,14,89,16,0
